title,n_enrolled_normalised,ratings_normalised,"ratio(n_rating,n_enrolled)",id
Generative AI for Data Scientists,0.0009268445511983,0.0086956521739132,0.0232394366197183,46
AI For Everyone,0.0,0.0521739130434783,0.0,47
"Foundations: Data, Data, Everywhere",0.8031636729152525,0.0521739130434783,0.0402978925015704,48
IBM AI Engineering,0.0159081118479452,-0.0347826086956522,0.1240332341778644,49
"BI Foundations with SQL, ETL and Data Warehousing",0.0022658738447078,-0.0347826086956522,0.0404724182629987,50
IBM Full-Stack JavaScript Developer,0.0012228473708944,-0.0782608695652172,0.0256204963971176,51
Supervised Machine Learning: Regression and Classification,0.1964587358362487,0.0956521739130437,0.0306272124867728,52
AI in Healthcare,0.0102654561119523,0.0086956521739132,0.0451438563026545,53
Foundations of Cybersecurity,0.2172869562947104,0.0956521739130437,0.0276929177142754,54
Generative AI for Everyone,0.0,0.0521739130434783,0.0,55
Business Foundations,0.0709737742154456,0.0086956521739132,0.0829658581446143,56
IBM IT Project Manager,0.0009013889614119,0.0521739130434783,0.168356263577118,57
IBM Back-end JavaScript Developer,0.000520534175761,-0.0347826086956522,0.0294670846394984,58
IBM Front-End Developer,0.0023037308756722,-0.0347826086956522,0.057515228785947,59
Meta Social Media Marketing,0.1002663046316119,0.0521739130434783,0.055593167378398,60
Mathematics for Machine Learning and Data Science,0.0214404600281969,-0.0347826086956522,0.0256480509003455,61
IBM Applied DevOps Engineering,0.0007297269072111,0.0086956521739132,0.1341681574239713,62
IBM IT Scrum Master,0.001789071066785,0.0521739130434783,0.0344764684421743,63
Intuit Academy Bookkeeping,0.0453791577463317,-0.0347826086956522,0.0379362670713201,64
Python for Everybody,0.5288056106730719,0.0521739130434783,0.1295742573340862,65
Foundations of Digital Marketing and E-commerce,0.2676501879797399,0.0521739130434783,0.0222942168430832,66
Technical Support Fundamentals,0.56466078794841,0.0521739130434783,0.0861871760149484,67
Machine Learning Engineering for Production (MLOps),0.0224267009555636,0.0086956521739132,0.0491276066298985,68
AI For Business,0.007154652498564,0.0086956521739132,0.0264562331797655,69
IBM Cybersecurity Analyst,0.0614334760586914,-0.0347826086956522,0.0605337809840524,70
